agence_cat,biblionumber,collection,collection1,collection2,collection3,collection4,date_transaction,element_initial,point_acces,subd_chrono,subd_forme,subd_geo,subd_sujet,support,unimarc
BnF,2,"Jeunesse - Albums - Albums pour enfants",Jeunesse,Albums,"Albums pour enfants",INC,1984-01-09,"83 ","83 ",ABS,ABS,ABS,ABS,Livre,f686
BnF,3,"Jeunesse - Albums - Albums pour enfants",Jeunesse,Albums,"Albums pour enfants",INC,1979-04-24,"83 ","83 ",ABS,ABS,ABS,ABS,Livre,f686
BnF,4,"Jeunesse - Albums - Albums pour enfants",Jeunesse,Albums,"Albums pour enfants",INC,1980-02-12,"83 ","83 ",ABS,ABS,ABS,ABS,Livre,f686
BnF,6,"Jeunesse - Albums - Contes pour petits enfants",Jeunesse,Albums,"Contes pour petits enfants",INC,1992-05-05,823,823,ABS,ABS,ABS,ABS,Livre,f686
BnF,7,"Jeunesse - Albums - Albums pour enfants",Jeunesse,Albums,"Albums pour enfants",INC,1984-04-20,"83 ","83 ",ABS,ABS,ABS,ABS,Livre,f686
BnF,8,"Jeunesse - Albums - Albums pour enfants",Jeunesse,Albums,"Albums pour enfants",INC,1984-04-20,"83 ","83 ",ABS,ABS,ABS,ABS,Livre,f686
BnF,9,"Jeunesse - Albums - Contes pour enfants",Jeunesse,Albums,"Contes pour enfants",INC,1990-01-25,823,823,ABS,ABS,ABS,ABS,Livre,f686
BnF,10,"Jeunesse - Albums - Albums pour enfants",Jeunesse,Albums,"Albums pour enfants",INC,1982-12-27,"83 ","83 ",ABS,ABS,ABS,ABS,Livre,f686
Roubaix,11,"Adultes - Divers",Adultes,Divers,INC,INC,2016-01-19,"Contes africains","Contes africains - Ouvrages pour la jeunesse - Afrique centrale",ABS,ABS,"Afrique centrale","Ouvrages pour la jeunesse",Livre,f606
BnF,12,"Jeunesse - Albums - Contes pour enfants",Jeunesse,Albums,"Contes pour enfants",INC,1988-11-15,823,823,ABS,ABS,ABS,ABS,Livre,f686
BnF,13,"Jeunesse - Albums - Contes en livre sonore",Jeunesse,Albums,"Contes en livre sonore",INC,1990-05-22,823,823,ABS,ABS,ABS,ABS,Livre,f686
BnF,17,"Jeunesse - Albums - Albums pour enfants",Jeunesse,Albums,"Albums pour enfants",INC,1992-05-05,823,823,ABS,ABS,ABS,ABS,Livre,f686
BnF,18,"Jeunesse - Albums - Albums pour enfants",Jeunesse,Albums,"Albums pour enfants",INC,1992-05-25,823,823,ABS,ABS,ABS,ABS,Livre,f686
BnF,19,"Jeunesse - Albums - Albums pour enfants",Jeunesse,Albums,"Albums pour enfants",INC,1984-04-20,"83 ","83 ",ABS,ABS,ABS,ABS,Livre,f686
Roubaix,22,"Patrimoine - Patrimoine écrit",Patrimoine,"Patrimoine écrit",INC,INC,2011-04-27,"Pinocchio (personnage fictif)","Pinocchio (personnage fictif) - Ouvrages pour la jeunesse",ABS,ABS,ABS,"Ouvrages pour la jeunesse",Livre,f600
BnF,23,"Jeunesse - Albums - Contes pour enfants",Jeunesse,Albums,"Contes pour enfants",INC,1984-04-20,"Contes roumains","Contes roumains - Ouvrages pour la jeunesse",ABS,ABS,ABS,"Ouvrages pour la jeunesse",Livre,f609
